"","Country.Region","Confirmed","Death","life_expectancy"
"176","Turkey",955766,15751,77.69
"177","Uganda",25730,220,63.37
"178","Ukraine",881727,14981,72.06
"179","United Arab Emirates",181405,602,77.97
"180","United Kingdom",1792611,63179,81.32
"181","United States",15611014,292141,78.86
"182","Uruguay",8487,90,77.91
"183","Uzbekistan",74498,611,71.72
"184","Vanuatu",1,NA,70.47
"185","Vatican",27,NA,75.12
"186","Venezuela",106280,938,72.06
"187","Vietnam",1385,35,75.4
"188","World",69592554,1581856,72.58
"189","Yemen",2081,606,66.12
"190","Zambia",18091,364,63.89
"191","Zimbabwe",11081,305,61.49
